time,Row,column,strain,anabasine.conc,anabasine,time,sample,a620,a620.a,a620.b
4,E,10,twelve.six,5,5 ppm,0,E10,0.128,0.127,0.129
4,F,10,twelve.six,50,50 ppm,0,F10,0.1335,0.132,0.135
4,G,10,control,5,5 ppm,0,G10,0.0625,0.063,0.062
4,H,10,control,50,50 ppm,0,H10,0.0595,0.059,0.06
4,A,11,control,0,0 ppm,0,A11,,,
4,B,11,control,0.5,0.5 ppm,0,B11,,,
4,C,11,control,5,5 ppm,0,C11,,,
4,D,11,control,50,50 ppm,0,D11,,,
4,E,11,control,0,0 ppm,0,E11,,,
4,F,11,control,0.5,0.5 ppm,0,F11,,,
4,G,11,control,5,5 ppm,0,G11,,,
4,H,11,control,50,50 ppm,0,H11,,,
4,A,12,control,0,0 ppm,0,A12,,,
4,B,12,control,0.5,0.5 ppm,0,B12,,,
4,C,12,control,5,5 ppm,0,C12,,,
4,D,12,control,50,50 ppm,0,D12,,,
4,E,12,control,0,0 ppm,0,E12,,,
4,F,12,control,0.5,0.5 ppm,0,F12,,,
4,G,12,control,5,5 ppm,0,G12,,,
4,H,12,control,50,50 ppm,0,H12,,,
5,A,1,control,0,0 ppm,0,A1,,,
5,B,1,control,0.5,0.5 ppm,0,B1,,,
5,C,1,control,5,5 ppm,0,C1,,,
5,D,1,control,50,50 ppm,0,D1,,,
5,E,1,control,0,0 ppm,0,E1,,,
5,F,1,control,0.5,0.5 ppm,0,F1,,,
5,G,1,control,5,5 ppm,0,G1,,,
5,H,1,control,50,50 ppm,0,H1,,,
5,A,2,control,0,0 ppm,0,A2,,,
5,B,2,control,0.5,0.5 ppm,0,B2,,,
5,C,2,control,5,5 ppm,0,C2,,,
5,D,2,control,50,50 ppm,0,D2,,,
5,E,2,control,0,0 ppm,0,E2,,,
5,F,2,control,0.5,0.5 ppm,0,F2,,,
5,G,2,control,5,5 ppm,0,G2,,,
5,H,2,control,50,50 ppm,0,H2,,,
5,A,3,control,0,0 ppm,0,A3,,,
5,B,3,control,0.5,0.5 ppm,0,B3,,,
5,C,3,twelve.six,0,0 ppm,0,C3,,,
5,D,3,twelve.six,0.5,0.5 ppm,0,D3,,,
5,E,3,twelve.six,5,5 ppm,0,E3,,,
5,F,3,twelve.six,50,50 ppm,0,F3,,,
5,G,3,control,5,5 ppm,0,G3,,,
5,H,3,control,50,50 ppm,0,H3,,,
5,A,4,control,0,0 ppm,0,A4,,,
5,B,4,control,0.5,0.5 ppm,0,B4,,,
5,C,4,twelve.six,0,0 ppm,0,C4,,,
5,D,4,twelve.six,0.5,0.5 ppm,0,D4,,,
5,E,4,twelve.six,5,5 ppm,0,E4,,,
5,F,4,twelve.six,50,50 ppm,0,F4,,,
5,G,4,control,5,5 ppm,0,G4,,,
5,H,4,control,50,50 ppm,0,H4,,,
5,A,5,control,0,0 ppm,0,A5,,,
5,B,5,control,0.5,0.5 ppm,0,B5,,,
5,C,5,twelve.six,0,0 ppm,0,C5,,,
5,D,5,twelve.six,0.5,0.5 ppm,0,D5,,,
5,E,5,twelve.six,5,5 ppm,0,E5,,,
5,F,5,twelve.six,50,50 ppm,0,F5,,,
5,G,5,control,5,5 ppm,0,G5,,,
5,H,5,control,50,50 ppm,0,H5,,,
5,A,6,control,0,0 ppm,0,A6,,,
5,B,6,control,0.5,0.5 ppm,0,B6,,,
5,C,6,twelve.six,0,0 ppm,0,C6,,,
5,D,6,twelve.six,0.5,0.5 ppm,0,D6,,,
5,E,6,twelve.six,5,5 ppm,0,E6,,,
5,F,6,twelve.six,50,50 ppm,0,F6,,,
5,G,6,control,5,5 ppm,0,G6,,,
5,H,6,control,50,50 ppm,0,H6,,,
5,A,7,control,0,0 ppm,0,A7,,,
5,B,7,control,0.5,0.5 ppm,0,B7,,,
5,C,7,twelve.six,0,0 ppm,0,C7,,,
5,D,7,twelve.six,0.5,0.5 ppm,0,D7,,,
5,E,7,twelve.six,5,5 ppm,0,E7,,,
5,F,7,twelve.six,50,50 ppm,0,F7,,,
5,G,7,control,5,5 ppm,0,G7,,,
5,H,7,control,50,50 ppm,0,H7,,,
5,A,8,control,0,0 ppm,0,A8,,,
5,B,8,control,0.5,0.5 ppm,0,B8,,,
5,C,8,twelve.six,0,0 ppm,0,C8,,,
5,D,8,twelve.six,0.5,0.5 ppm,0,D8,,,
5,E,8,twelve.six,5,5 ppm,0,E8,,,
5,F,8,twelve.six,50,50 ppm,0,F8,,,
5,G,8,control,5,5 ppm,0,G8,,,
5,H,8,control,50,50 ppm,0,H8,,,
5,A,9,control,0,0 ppm,0,A9,,,
5,B,9,control,0.5,0.5 ppm,0,B9,,,
5,C,9,twelve.six,0,0 ppm,0,C9,,,
5,D,9,twelve.six,0.5,0.5 ppm,0,D9,,,
5,E,9,twelve.six,5,5 ppm,0,E9,,,
5,F,9,twelve.six,50,50 ppm,0,F9,,,
5,G,9,control,5,5 ppm,0,G9,,,
5,H,9,control,50,50 ppm,0,H9,,,
5,A,10,control,0,0 ppm,0,A10,,,
5,B,10,control,0.5,0.5 ppm,0,B10,,,
5,C,10,twelve.six,0,0 ppm,0,C10,,,
5,D,10,twelve.six,0.5,0.5 ppm,0,D10,,,
5,E,10,twelve.six,5,5 ppm,0,E10,,,
5,F,10,twelve.six,50,50 ppm,0,F10,,,
5,G,10,control,5,5 ppm,0,G10,,,
5,H,10,control,50,50 ppm,0,H10,,,
5,A,11,control,0,0 ppm,0,A11,,,
5,B,11,control,0.5,0.5 ppm,0,B11,,,
5,C,11,control,5,5 ppm,0,C11,,,
5,D,11,control,50,50 ppm,0,D11,,,
5,E,11,control,0,0 ppm,0,E11,,,
5,F,11,control,0.5,0.5 ppm,0,F11,,,
5,G,11,control,5,5 ppm,0,G11,,,
5,H,11,control,50,50 ppm,0,H11,,,
5,A,12,control,0,0 ppm,0,A12,,,
5,B,12,control,0.5,0.5 ppm,0,B12,,,
5,C,12,control,5,5 ppm,0,C12,,,
5,D,12,control,50,50 ppm,0,D12,,,
5,E,12,control,0,0 ppm,0,E12,,,
5,F,12,control,0.5,0.5 ppm,0,F12,,,
5,G,12,control,5,5 ppm,0,G12,,,
5,H,12,control,50,50 ppm,0,H12,,,
